name,web_pages,domains,country,state-province
Sri Sant Gajanan Maharaj College of Engineering,['http://www.ssgmce.org/'],['ssgmce.org'],India,
Sree Sankaracharya University of Sanskrit,['http://www.ssus.ac.in/'],['ssus.ac.in'],India,
Sampurnanand Sanskrit University,['http://ssvv.up.nic.in/'],['ssvv.up.nic.in'],India,
Solapur University,['http://su.digitaluniversity.ac/'],['su.digitaluniversity.ac'],India,
Sardar Vallabhai Patel University of Agriculture Amd Technology,['http://www.svbpuctm.org/'],['svbpuctm.org'],India,
Sardar Vallabhbhai National Institute of Technology,['http://www.svnit.ac.in/'],['svnit.ac.in'],India,
Sri Venkateswara Institute of Medical Sciences,['http://svimstpt.ap.nic.in/'],['svimstpt.ap.nic.in'],India,
Sri Venkateswara University,['http://svuni.ap.nic.in/'],['svuni.ap.nic.in'],India,
Tamil University,['http://www.tamiluniversity.ac.in/'],['tamiluniversity.ac.in'],India,Tamil Nadu
Tamil Nadu Veterinary and Animal Sciences University,['http://www.tanuvas.com/'],['tanuvas.com'],India,Tamil Nadu
